date,eth_value,change,new_invest_value,sold_coins_value,eth return,5 percent return
2021-09-21 23:59:00,2867.12,-0.06099202515270114,18780.159496945977,0.0,18780.159496945977,20002.17411805374
2021-09-22 23:59:00,3118.5,0.02133721977500126,20426.744395500024,0.0,20426.744395500024,20005.054638376874
2021-09-23 23:59:00,3074.93,0.007067647010660399,20141.352940213208,0.0,20141.352940213208,20007.935573524857
2021-09-24 23:59:00,2912.15,-0.04624428905955748,19075.114218808852,0.0,19075.114218808852,20010.816923556948
2021-09-25 23:59:00,2866.52,-0.061188530630291296,18776.229387394174,0.0,18776.229387394174,20013.69868853369
2021-09-26 23:59:00,3131.91,0.02572911719914191,20514.58234398284,0.0,20514.58234398284,20016.580868514382
2021-09-27 23:59:00,2948.97,-0.03418540291810638,19316.29194163787,0.0,19316.29194163787,20019.463463558866
2021-09-28 19:59:00,2804.91,-0.08136636808751047,18372.67263824979,0.0,18372.67263824979,20021.86594320166
2021-09-29 23:59:00,3027.46,-0.008479211358016563,19830.415772839668,0.0,19830.415772839668,20024.150568328278
2021-09-30 23:59:00,3002.98,-0.016496634843696234,19670.067303126074,0.0,19670.067303126074,20027.034253487975
2021-10-01 23:59:00,3267.31,0.07007385330866099,21401.47706617322,0.0,21401.47706617322,20029.9183539282
2021-10-02 23:59:00,3404.97,0.11515876005043638,22303.17520100873,0.0,22303.17520100873,20032.802869708772
2021-10-03 23:59:00,3335.31,-0.01618788327497872,24031.57843024875,0.0,24031.57843024875,22035.905412716646
2021-10-04 23:59:00,3387.96,-0.0006577802424052983,24410.932254736603,0.0,24410.932254736603,22039.07881141849
2021-10-05 23:59:00,3486.63,0.02844678321863968,25121.869422110143,0.0,25121.869422110143,22042.25266712263
2021-10-06 23:59:00,3519.54,0.038154203746692636,25358.992581918224,0.0,25358.992581918224,22045.42697989486
2021-10-07 23:59:00,3574.31,0.05430964046262891,25753.621432197422,0.0,25753.621432197422,22048.601749801004
2021-10-08 23:59:00,3579.48,0.05583462873762236,25790.872320565937,0.0,25790.872320565937,22051.77697690693
2021-10-09 23:59:00,3530.53,0.04139590996374839,25438.177739204486,0.0,25438.177739204486,22054.952661278465
2021-10-10 23:59:00,3518.15,0.03774419722788399,25348.97735274371,0.0,25348.97735274371,22058.12880298142
2021-10-11 23:59:00,3486.21,0.028322896356841352,25118.843237755256,0.0,25118.843237755256,22061.30540208171
2021-10-12 23:59:00,3501.88,0.03294505617679247,25231.748734995992,0.0,25231.748734995992,22064.48245864521
2021-10-13 23:59:00,3643.0,0.07457104174102334,26248.546678238657,0.0,26248.546678238657,22067.659972737754
2021-10-14 23:59:00,3820.92,0.12705187614853444,27530.496012576354,0.0,27530.496012576354,22070.837944425188
